Pos.,Equipo,Total
1,"Pachuca
                                México",86
2,"Atlas
                                México",74
3,"Atlético San Luis
                                México",72
NA,"Chivas
                                México",72
4,"Cruz Azul
                                México",69
NA,"Tigres
                                México",69
5,"Rayados
                                México",66
6,"Toluca
                                México",65
7,"Xolos 
                                México",64
8,"América
                                México",63
9,"Necaxa
                                México",62
10,"Santos Laguna
                                México",61
11,"Pumas
                                México",59
12,"Puebla
                                México",55
13,"León FC
                                México",49
NA,"Mazatlán Fútbol Club
                                México",49
NA,"Gallos Blancos
                                México",49
14,"Bravos
                                México",39
