Pos.,Equipo,Total
1,"Gallos Blancos
                                México",105
2,"Xolos 
                                México",102
3,"Mazatlán Fútbol Club
                                México",98
4,"Necaxa
                                México",97
5,"Atlético San Luis
                                México",91
6,"Santos Laguna
                                México",89
7,"Toluca
                                México",86
8,"Puebla
                                México",83
NA,"Chivas
                                México",83
9,"Cruz Azul
                                México",82
10,"Tigres
                                México",74
11,"Pumas
                                México",73
12,"América
                                México",71
NA,"Bravos
                                México",71
13,"Pachuca
                                México",66
14,"León FC
                                México",59
NA,"Atlas
                                México",59
15,"Rayados
                                México",50
