Pos.,Equipo,Total
1,"Tigres
                                México",36
2,"Chivas
                                México",35
3,"Toluca
                                México",32
NA,"Atlético San Luis
                                México",32
4,"Xolos 
                                México",31
5,"América
                                México",30
NA,"Necaxa
                                México",30
6,"Pachuca
                                México",29
7,"Atlas
                                México",27
8,"Cruz Azul
                                México",25
9,"Pumas
                                México",24
NA,"Gallos Blancos
                                México",24
NA,"Rayados
                                México",24
10,"León FC
                                México",23
NA,"Puebla
                                México",23
NA,"Santos Laguna
                                México",23
11,"Mazatlán Fútbol Club
                                México",22
12,"Bravos
                                México",18
