Pos.,Equipo,Total
1,"Toluca
                                México",15
2,"Cruz Azul
                                México",12
3,"Atlético San Luis
                                México",11
4,"América
                                México",10
NA,"Gallos Blancos
                                México",10
NA,"Xolos 
                                México",10
NA,"Chivas
                                México",10
5,"Tigres
                                México",8
6,"Puebla
                                México",7
NA,"Necaxa
                                México",7
7,"Santos Laguna
                                México",6
8,"Mazatlán Fútbol Club
                                México",5
NA,"Rayados
                                México",5
9,"León FC
                                México",4
NA,"Bravos
                                México",4
10,"Pumas
                                México",3
NA,"Pachuca
                                México",3
11,"Atlas
                                México",2
