Rasgos,Fernando Navarro,Jorge Sanchez,Chaka Rodriguez,Israel Jimenez,Wiliam Tesillo,Manuel Mayorga,Edgar Duenas,Jesus Angulo,,Valor max
IntercepcionesPorPartido,0.55,1.27,1.06,1.17,1.63,1.36,0.60,1.13,,2.13
DuelosGanados,58.00,46.00,51.00,66.00,49.00,45.00,58.00,57.00,,100.00
DuelosAereosGanados,46.00,50.00,59.00,62.00,49.00,47.00,71.00,56.00,,100.00
Bloqueos/Partido,0.55,1.27,1.06,1.17,0.68,0.21,0.20,0.47,,1.64
Despejes/Partido,1.60,1.80,1.17,1.50,2.59,1.37,0.75,1.87,,3.06
BarridasGanadas,66.00,60.00,69.00,75.00,60.00,54.00,69.00,60.00,,100.00
Asistencias,4.00,2.00,2.00,0.00,0.00,0.00,0.00,1.00,,na
PasesAcertados,87.00,80.00,86.00,86.00,85.00,84.00,88.00,84.00,,100.00
PasesPorPartido,43.00,35.00,51.00,41.00,64.00,41.00,51.00,37.00,,64.00
ToquesPorPartido,62.00,64.00,74.00,56.00,82.00,70.00,66.00,60.00,,82.00
CambiosDeJuegoExitosos,46.00,23.00,28.00,0.00,23.00,27.00,21.00,12.00,,100.00
Goles,4.00,1.00,2.00,0.00,0.00,1.00,1.00,0.00,,na
Tiros a puerta,53.00,67.00,25.00,50.00,44.00,67.00,57.00,17.00,,100.00
Goles dentro del area,4.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,,na
Goles fuera del area,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,na
Regates exitosos,17.00,25.00,18.00,2.00,17.00,15.00,6.00,4.00,,25.00
