,Chaka Rodriguez,Edgar Duenas,Fernando Navarro,Israel Jimenez,Jesus Angulo,Jorge Sánchez,Manuel Mayorga,Wiliam Tesillo
Asistencias,2.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0
Bloqueos/Partido,1.06,0.2,0.55,1.17,0.46666666700000003,1.27,0.21052631600000002,0.681818182
Despejes/Partido,1.17,0.75,1.6,1.5,1.8666666669999998,1.8,1.368421053,2.590909091
Goles,2.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0
Goles dentro del area,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0
Goles fuera del area,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IntercepcionesPorPartido,1.06,0.6,0.55,1.17,1.133333333,1.27,1.368421053,1.636363636
PasesPorPartido,51.0,51.0,43.0,41.0,37.0,35.0,41.0,64.0
Regates exitosos ,18.0,6.0,17.0,2.0,4.0,25.0,15.0,17.0
ToquesPorPartido,74.0,66.0,62.0,56.0,60.0,64.0,70.0,82.0
